Time,NTC 0,NTC 1,NTC 2,NTC 3, CPU Temp
2019-01-04 14:12:37.713606,37.0,25.6,25.2,24.2,54.2
2019-01-04 14:12:47.804408,37.0,25.7,25.2,24.3,52.6
2019-01-04 14:12:57.912876,37.1,25.7,25.2,24.1,52.1
2019-01-04 14:13:07.998668,36.9,25.7,25.2,24.1,53.2
2019-01-04 14:13:18.084487,37.0,25.6,25.2,24.1,52.6
2019-01-04 14:13:30.747497,37.3,25.7,25.2,24.3,53.2
2019-01-04 14:13:40.836018,37.2,25.7,25.3,24.2,52.1
2019-01-04 14:13:45.860142,37.1,25.8,25.3,24.2,53.7
2019-01-04 14:13:55.931726,37.1,25.8,25.4,24.2,52.6
2019-01-04 14:14:06.004444,37.1,25.8,25.4,24.2,52.1
2019-01-04 14:14:12.223369,37.1,25.8,25.4,24.2,53.7
2019-01-04 14:14:22.293861,37.1,25.8,25.4,24.2,52.6
2019-01-04 14:14:32.393941,37.1,25.8,25.4,24.2,52.1
